name,year_published,min_players,max_players,min_playtime,max_playtime,min_age,categories,mechanics,users_rated,average_rating,weight
Lords of Waterdeep,2012,2,5,60,120,12,"['City Building', 'Fantasy']","['Contracts', 'Hidden Roles', 'Increase Value of Unchosen Resources', 'Ownership', 'Set Collection', 'Take That', 'Turn Order: Claim Action', 'Worker Placement']",56045,7.73336,2.4527
Race for the Galaxy,2007,2,4,30,60,12,"['Card Game', 'Civilization', 'Economic', 'Science Fiction', 'Space Exploration']","['Follow', 'Hand Management', 'Multi-Use Cards', 'Simultaneous Action Selection', 'Tags']",55907,7.74418,2.991
Citadels,2000,2,8,20,60,10,"['Bluffing', 'Card Game', 'City Building', 'Deduction', 'Fantasy', 'Medieval']","['Action Drafting', 'Closed Drafting', 'Income', 'Lose a Turn', 'Set Collection', 'Take That', 'Turn Order: Role Order', 'Variable Player Powers']",54957,7.05986,2.0489
Pandemic Legacy: Season 1,2015,2,4,60,60,13,"['Environmental', 'Medical']","['Action Points', 'Cooperative Game', 'Hand Management', 'Legacy Game', 'Point to Point Movement', 'Scenario / Mission / Campaign Game', 'Set Collection', 'Tags', 'Trading', 'Variable Player Powers']",53965,8.52481,2.8299
Stone Age,2008,2,4,60,90,10,"['Dice', 'Economic', 'Prehistoric']","['Contracts', 'Dice Rolling', 'End Game Bonuses', 'Set Collection', 'Turn Order: Progressive', 'Worker Placement']",53121,7.52345,2.4607
Spirit Island,2017,1,4,90,120,13,"['Environmental', 'Fantasy', 'Fighting', 'Mythology', 'Territory Building']","['Action Retrieval', 'Area Majority / Influence', 'Automatic Resource Growth', 'Campaign / Battle Card Driven', 'Cooperative Game', 'Hand Management', 'Modular Board', 'Simultaneous Action Selection', 'Solo / Solitaire Game', 'Tags', 'Variable Player Powers', 'Variable Set-up']",52869,8.34387,4.0686
Root,2018,2,4,60,90,10,"['Animals', 'Fantasy', 'Negotiation', 'Territory Building', 'Wargame']","['Action Points', 'Action Queue', 'Action Retrieval', 'Area Majority / Influence', 'Area Movement', 'Dice Rolling', 'Hand Management', 'Multi-Use Cards', 'Negotiation', 'Point to Point Movement', 'Race', 'Sudden Death Ending', 'Take That', 'Variable Player Powers', 'Variable Set-up']",52736,8.07161,3.8035
Jaipur,2009,2,2,30,30,10,"['Card Game', 'Economic']","['Hand Management', 'Hidden Victory Points', 'Market', 'Open Drafting', 'Score-and-Reset Game', 'Set Collection']",52388,7.48756,1.4629
Forbidden Island,2010,2,4,30,30,10,"['Adventure', 'Fantasy', 'Science Fiction']","['Action Points', 'Cooperative Game', 'Grid Movement', 'Hand Management', 'Map Reduction', 'Modular Board', 'Pick-up and Deliver', 'Set Collection', 'Solo / Solitaire Game', 'Square Grid', 'Tile Placement', 'Variable Player Powers']",51301,6.75937,1.7347
The Quacks of Quedlinburg,2018,2,4,45,45,10,['Medieval'],"['Catch the Leader', 'Deck, Bag, and Pool Building', 'Delayed Purchase', 'Dice Rolling', 'Events', 'Open Drafting', 'Push Your Luck', 'Simultaneous Action Selection', 'Variable Set-up']",50852,7.82203,1.9453
Munchkin,2001,3,6,60,120,10,"['Card Game', 'Fantasy', 'Fighting', 'Humor']","['Hand Management', 'Take That', 'Variable Player Powers']",50022,5.87184,1.8101
Viticulture Essential Edition,2015,1,6,45,90,13,"['Economic', 'Farming']","['Contracts', 'Hand Management', 'Race', 'Solo / Solitaire Game', 'Turn Order: Auction', 'Victory Points as a Resource', 'Worker Placement', 'Worker Placement, Different Worker Types']",49437,7.98569,2.892
Twilight Struggle,2005,2,2,120,180,13,"['Modern Warfare', 'Political', 'Wargame']","['Action/Event', 'Advantage Token', 'Area Majority / Influence', 'Campaign / Battle Card Driven', 'Dice Rolling', 'Events', 'Hand Management', 'Simulation', 'Simultaneous Action Selection', 'Sudden Death Ending', 'Tug of War', 'Variable Set-up']",49174,8.2445,3.6096
Hanabi,2010,2,5,25,25,8,"['Card Game', 'Deduction', 'Memory']","['Communication Limits', 'Cooperative Game', 'Hand Management', 'Memory', 'Ordering', 'Set Collection']",48925,7.0388,1.6867
Terra Mystica,2012,2,5,60,150,12,"['Civilization', 'Economic', 'Fantasy', 'Territory Building']","['Area Majority / Influence', 'Chaining', 'End Game Bonuses', 'Hexagon Grid', 'Income', 'Increase Value of Unchosen Resources', 'Network and Route Building', 'Tech Trees / Tech Tracks', 'Turn Order: Pass Order', 'Variable Player Powers', 'Variable Set-up', 'Victory Points as a Resource']",48346,8.05915,3.9721
Kingdomino,2016,2,4,15,25,8,"['City Building', 'Medieval', 'Territory Building']","['Open Drafting', 'Tile Placement', 'Turn Order: Stat-Based']",48239,7.30593,1.2268
Blood Rage,2015,2,4,60,90,14,"['Fantasy', 'Fighting', 'Miniatures', 'Mythology']","['Action Points', 'Area Majority / Influence', 'Area Movement', 'Card Play Conflict Resolution', 'Closed Drafting', 'Hand Management', 'Map Reduction', 'Memory', 'Open Drafting', 'Simultaneous Action Selection', 'Take That']",47679,7.92363,2.8814
Sushi Go!,2013,2,5,15,15,8,['Card Game'],"['Closed Drafting', 'End Game Bonuses', 'Hand Management', 'Set Collection', 'Simultaneous Action Selection']",47628,7.00025,1.1584
Coup,2012,2,6,15,15,13,"['Bluffing', 'Card Game', 'Deduction', 'Party Game', 'Political']","['Hidden Roles', 'Memory', 'Player Elimination', 'Take That', 'Variable Player Powers']",47342,6.9827,1.408
Brass: Birmingham,2018,2,4,60,120,14,"['Age of Reason', 'Economic', 'Industry / Manufacturing', 'Post-Napoleonic', 'Trains', 'Transportation']","['Hand Management', 'Income', 'Loans', 'Market', 'Multi-Use Cards', 'Network and Route Building', 'Tags', 'Tech Trees / Tech Tracks', 'Turn Order: Stat-Based', 'Variable Set-up']",47323,8.59424,3.8754
Bohnanza,1997,2,7,45,45,12,"['Card Game', 'Farming', 'Negotiation']","['Hand Management', 'Multi-Use Cards', 'Negotiation', 'Set Collection', 'Trading']",47241,7.0615,1.6677
Dune: Imperium,2020,1,4,60,120,14,"['Movies / TV / Radio theme', 'Novel-based', 'Political', 'Science Fiction']","['Card Play Conflict Resolution', 'Deck, Bag, and Pool Building', 'Delayed Purchase', 'Force Commitment', 'Increase Value of Unchosen Resources', 'Multi-Use Cards', 'Open Drafting', 'Race', 'Solo / Solitaire Game', 'Tags', 'Take That', 'Turn Order: Progressive', 'Variable Player Powers', 'Worker Placement']",47114,8.43477,3.0496
Lost Cities,1999,2,2,30,30,10,"['Card Game', 'Exploration', 'Math']","['Hand Management', 'Melding and Splaying', 'Ordering', 'Push Your Luck', 'Score-and-Reset Game', 'Set Collection']",47053,7.24187,1.477
Betrayal at House on the Hill,2004,3,6,60,60,12,"['Adventure', 'Exploration', 'Horror', 'Miniatures']","['Dice Rolling', 'Map Addition', 'Modular Board', 'Player Elimination', 'Role Playing', 'Storytelling', 'Team-Based Game', 'Traitor Game', 'Variable Player Powers']",46731,7.02318,2.3966
Dead of Winter: A Crossroads Game,2014,2,5,60,120,13,"['Bluffing', 'Deduction', 'Horror', 'Zombies']","['Action Points', 'Area Movement', 'Dice Rolling', 'Hand Management', 'Narrative Choice / Paragraph', 'Push Your Luck', 'Scenario / Mission / Campaign Game', 'Semi-Cooperative Game', 'Storytelling', 'Trading', 'Traitor Game', 'Turn Order: Progressive', 'Variable Player Powers', 'Voting']",46712,7.462,3.0101
Lost Ruins of Arnak,2020,1,4,30,120,12,"['Adventure', 'Ancient', 'Exploration', 'Fantasy', 'Travel']","['Contracts', 'Deck, Bag, and Pool Building', 'Market', 'Multi-Use Cards', 'Once-Per-Game Abilities', 'Resource to Move', 'Solo / Solitaire Game', 'Turn Order: Progressive', 'Worker Placement']",45456,8.0721,2.9218
Ark Nova,2021,1,4,90,150,14,"['Animals', 'Economic', 'Environmental']","['Action Queue', 'End Game Bonuses', 'Grid Coverage', 'Hand Management', 'Hexagon Grid', 'Income', 'Increase Value of Unchosen Resources', 'Open Drafting', 'Race', 'Set Collection', 'Solo / Solitaire Game', 'Tags', 'Tile Placement', 'Variable Player Powers', 'Variable Set-up']",45405,8.53578,3.7678
Star Realms,2014,2,2,20,20,12,"['Card Game', 'Fighting', 'Science Fiction']","['Deck, Bag, and Pool Building', 'Delayed Purchase', 'Hand Management', 'Income', 'Open Drafting', 'Tags', 'Take That', 'Variable Set-up']",45192,7.56124,1.924
Takenoko,2011,2,4,45,45,8,"['Animals', 'Environmental', 'Farming', 'Territory Building']","['Action Points', 'Contracts', 'Dice Rolling', 'End Game Bonuses', 'Grid Movement', 'Hexagon Grid', 'Modular Board', 'Network and Route Building', 'Pattern Building', 'Set Collection', 'Tile Placement']",45101,7.21231,1.9755
Mysterium,2015,2,7,42,42,10,"['Deduction', 'Horror', 'Murder/Mystery', 'Party Game']","['Communication Limits', 'Cooperative Game', 'Deduction', 'Finale Ending', 'Hand Management', 'Pattern Recognition', 'Storytelling', 'Variable Player Powers', 'Voting']",44619,7.21355,1.8951
Robinson Crusoe: Adventures on the Cursed Island,2012,1,4,60,120,14,"['Adventure', 'Exploration', 'Fighting', 'Novel-based', 'Territory Building']","['Action Queue', 'Area Movement', 'Cooperative Game', 'Dice Rolling', 'Die Icon Resolution', 'Events', 'Hexagon Grid', 'Map Addition', 'Movement Points', 'Narrative Choice / Paragraph', 'Scenario / Mission / Campaign Game', 'Solo / Solitaire Game', 'Tile Placement', 'Turn Order: Progressive', 'Variable Player Powers', 'Worker Placement']",43823,7.74149,3.8188
Arkham Horror: The Card Game,2016,1,2,60,120,14,"['Adventure', 'Card Game', 'Collectible Components', 'Exploration', 'Horror', 'Novel-based']","['Action Points', 'Area Movement', 'Communication Limits', 'Cooperative Game', 'Deck Construction', 'Events', 'Hand Management', 'Map Deformation', 'Modular Board', 'Push Your Luck', 'Role Playing', 'Scenario / Mission / Campaign Game', 'Solo / Solitaire Game', 'Stat Check Resolution', 'Variable Player Powers']",43659,8.13034,3.5416
Clank!: A Deck-Building Adventure,2016,2,4,30,60,12,"['Adventure', 'Fantasy']","['Action Points', 'Deck, Bag, and Pool Building', 'Delayed Purchase', 'End Game Bonuses', 'Movement Points', 'Open Drafting', 'Player Elimination', 'Point to Point Movement', 'Push Your Luck', 'Variable Set-up']",42915,7.7761,2.2255
The Crew: The Quest for Planet Nine,2019,2,5,20,20,10,"['Card Game', 'Science Fiction', 'Space Exploration']","['Communication Limits', 'Cooperative Game', 'Hand Management', 'Scenario / Mission / Campaign Game', 'Trick-taking']",42483,7.79768,1.9535
Sagrada,2017,1,4,30,45,14,"['Dice', 'Puzzle']","['Contracts', 'Dice Rolling', 'End Game Bonuses', 'Grid Coverage', 'Open Drafting', 'Pattern Building', 'Set Collection', 'Solo / Solitaire Game', 'Turn Order: Progressive', 'Variable Set-up']",42119,7.47494,1.9171
Five Tribes: The Djinns of Naqala,2014,2,4,40,80,13,"['Arabian', 'Fantasy', 'Mythology']","['Auction/Bidding', 'Constrained Bidding', 'End Game Bonuses', 'Hidden Victory Points', 'Mancala', 'Modular Board', 'Set Collection', 'Square Grid', 'Take That', 'Turn Order: Auction', 'Variable Player Powers', 'Variable Set-up', 'Victory Points as a Resource']",41860,7.77466,2.8443
Great Western Trail,2016,2,4,75,150,12,"['American West', 'Animals', 'Economic']","['Deck, Bag, and Pool Building', 'Hand Management', 'Ownership', 'Set Collection', 'Track Movement', 'Variable Set-up']",41226,8.18791,3.6998
The Resistance,2009,5,10,30,30,13,"['Bluffing', 'Card Game', 'Deduction', 'Negotiation', 'Party Game', 'Print & Play', 'Science Fiction', 'Spies/Secret Agents']","['Hidden Roles', 'Memory', 'Roles with Asymmetric Information', 'Simultaneous Action Selection', 'Team-Based Game', 'Traitor Game', 'Voting']",41084,7.2108,1.5911
Concordia,2013,2,5,100,100,13,"['Ancient', 'Economic', 'Nautical']","['Action Retrieval', 'Advantage Token', 'Auction: Dutch', 'Deck, Bag, and Pool Building', 'End Game Bonuses', 'Hand Management', 'Hidden Victory Points', 'Investment', 'Movement Points', 'Open Drafting', 'Point to Point Movement', 'Set Collection', 'Variable Set-up']",41004,8.0926,2.9883
Cascadia,2021,1,4,30,45,10,"['Animals', 'Environmental', 'Puzzle']","['End Game Bonuses', 'Hexagon Grid', 'Open Drafting', 'Pattern Building', 'Solo / Solitaire Game', 'Tile Placement', 'Variable Set-up', 'Victory Points as a Resource']",40569,7.94423,1.8494
Magic: The Gathering,1993,2,2,20,20,13,"['Card Game', 'Collectible Components', 'Fantasy', 'Fighting']","['Betting and Bluffing', 'Closed Drafting', 'Deck Construction', 'Hand Management', 'Income', 'Interrupts', 'Player Elimination', 'Tags', 'Take That']",40185,7.57753,3.2666
Tzolk'in: The Mayan Calendar,2012,2,4,90,90,13,"['Ancient', 'Civilization', 'Economic', 'Farming', 'Mythology']","['Bias', 'End Game Bonuses', 'Turn Order: Claim Action', 'Worker Placement']",39683,7.85742,3.666
Arkham Horror,2005,1,8,120,240,14,"['Adventure', 'Fighting', 'Horror', 'Novel-based']","['Cooperative Game', 'Dice Rolling', 'Events', 'Finale Ending', 'Hand Management', 'Lose a Turn', 'Point to Point Movement', 'Role Playing', 'Solo / Solitaire Game', 'Stat Check Resolution', 'Variable Player Powers']",39612,7.23884,3.5844
Santorini,2016,2,4,20,20,8,"['Abstract Strategy', 'Ancient', 'Mythology']","['Grid Movement', 'Map Reduction', 'Race', 'Square Grid', 'Team-Based Game', 'Three Dimensional Movement', 'Variable Player Powers']",39138,7.35827,1.7206
Hive,2001,2,2,20,20,9,"['Abstract Strategy', 'Animals']","['Enclosure', 'Grid Movement', 'Hexagon Grid', 'Pattern Movement', 'Pieces as Map', 'Three Dimensional Movement', 'Tile Placement']",37600,7.32146,2.3143
Chess,1475,2,2,0,0,6,['Abstract Strategy'],"['Grid Movement', 'Once-Per-Game Abilities', 'Pattern Movement', 'Square Grid', 'Static Capture', 'Sudden Death Ending']",37010,7.21275,3.6548
Mansions of Madness: Second Edition,2016,1,5,120,180,14,"['Adventure', 'Exploration', 'Fighting', 'Horror', 'Miniatures', 'Murder/Mystery', 'Mythology', 'Puzzle']","['Area Movement', 'Cooperative Game', 'Dice Rolling', 'Hand Management', 'Map Addition', 'Modular Board', 'Role Playing', 'Scenario / Mission / Campaign Game', 'Solo / Solitaire Game', 'Stat Check Resolution', 'Traitor Game', 'Variable Player Powers']",36825,7.94419,2.6887
Eldritch Horror,2013,1,8,120,240,14,"['Adventure', 'Fighting', 'Horror', 'Novel-based', 'Travel']","['Action Points', 'Cooperative Game', 'Dice Rolling', 'Point to Point Movement', 'Resource to Move', 'Role Playing', 'Solo / Solitaire Game', 'Stat Check Resolution', 'Variable Player Powers']",36812,7.75165,3.3199
Battlestar Galactica: The Board Game,2008,3,6,120,180,14,"['Bluffing', 'Deduction', 'Movies / TV / Radio theme', 'Political', 'Science Fiction', 'Space Exploration', 'Spies/Secret Agents']","['Area Movement', 'Dice Rolling', 'Hand Management', 'Hidden Roles', 'Once-Per-Game Abilities', 'Role Playing', 'Semi-Cooperative Game', 'Team-Based Game', 'Traitor Game', 'Variable Player Powers', 'Variable Set-up', 'Voting']",36661,7.73067,3.249
Monopoly,1935,2,8,60,180,8,['Economic'],"['Auction: English', 'Auction/Bidding', 'Income', 'Loans', 'Lose a Turn', 'Ownership', 'Player Elimination', 'Roll / Spin and Move', 'Set Collection', 'Track Movement', 'Trading']",36418,4.36142,1.6201
Risk,1959,2,6,120,120,10,"['Territory Building', 'Wargame']","['Area Majority / Influence', 'Area Movement', 'Dice Rolling', 'Player Elimination', 'Set Collection']",36132,5.59771,2.0664
Sheriff of Nottingham,2014,3,5,60,60,14,"['Bluffing', 'Card Game', 'Humor', 'Medieval', 'Negotiation', 'Novel-based', 'Party Game']","['Betting and Bluffing', 'Bribery', 'Hand Management', 'Negotiation', 'Open Drafting', 'Role Playing', 'Set Collection']",36026,7.0661,1.6638
Sushi Go Party!,2016,2,8,20,20,8,"['Card Game', 'Party Game']","['Closed Drafting', 'End Game Bonuses', 'Hand Management', 'Set Collection', 'Simultaneous Action Selection', 'Variable Set-up']",35630,7.39137,1.3067
Exploding Kittens,2015,2,5,15,15,7,"['Animals', 'Card Game', 'Comic Book / Strip', 'Humor']","['Hand Management', 'Hot Potato', 'Player Elimination', 'Push Your Luck', 'Set Collection', 'Take That']",35325,6.06372,1.0844
Caverna: The Cave Farmers,2013,1,7,30,210,12,"['Animals', 'Economic', 'Fantasy', 'Farming']","['Automatic Resource Growth', 'Increase Value of Unchosen Resources', 'Solo / Solitaire Game', 'Tile Placement', 'Turn Order: Claim Action', 'Worker Placement']",35108,7.94433,3.7772
Gloomhaven: Jaws of the Lion,2020,1,4,30,120,14,"['Adventure', 'Exploration', 'Fantasy', 'Fighting', 'Miniatures']","['Action Queue', 'Action Retrieval', 'Campaign / Battle Card Driven', 'Communication Limits', 'Cooperative Game', 'Critical Hits and Failures', 'Deck Construction', 'Grid Movement', 'Hand Management', 'Hexagon Grid', 'Legacy Game', 'Line of Sight', 'Multi-Use Cards', 'Once-Per-Game Abilities', 'Scenario / Mission / Campaign Game', 'Simultaneous Action Selection', 'Solo / Solitaire Game', 'Variable Player Powers']",35101,8.42853,3.6435
A Game of Thrones: The Board Game (Second Edition),2011,3,6,120,240,14,"['Bluffing', 'Fantasy', 'Negotiation', 'Novel-based', 'Political', 'Wargame']","['Advantage Token', 'Alliances', 'Area Movement', 'Auction: Sealed Bid', 'Auction/Bidding', 'Card Play Conflict Resolution', 'Events', 'Hand Management', 'Income', 'Negotiation', 'Order Counters', 'Simultaneous Action Selection', 'Sudden Death Ending', 'Turn Order: Auction', 'Variable Player Powers']",34877,7.53738,3.7276
Galaxy Trucker,2007,2,4,60,60,10,"['Real-time', 'Science Fiction', 'Space Exploration', 'Transportation']","['Dice Rolling', 'Events', 'Real-Time', 'Relative Movement', 'Team-Based Game', 'Tile Placement', 'Track Movement']",34401,7.34211,2.3293
The Resistance: Avalon,2012,5,10,30,30,13,"['Bluffing', 'Card Game', 'Deduction', 'Fantasy', 'Medieval', 'Negotiation', 'Party Game', 'Spies/Secret Agents']","['Finale Ending', 'Hidden Roles', 'Roles with Asymmetric Information', 'Simultaneous Action Selection', 'Team-Based Game', 'Traitor Game', 'Variable Player Powers', 'Voting']",33938,7.5116,1.7393
Dominion: Intrigue,2009,2,6,30,30,13,"['Card Game', 'Medieval']","['Deck, Bag, and Pool Building', 'Delayed Purchase', 'Hand Management', 'Open Drafting', 'Variable Set-up']",33807,7.69024,2.4125
Alhambra,2003,2,6,45,60,8,"['City Building', 'Medieval']","['Hand Management', 'Memory', 'Open Drafting', 'Set Collection', 'Tile Placement']",33811,7.03173,2.1003
Machi Koro,2012,2,4,30,30,10,"['City Building', 'Dice']","['Dice Rolling', 'Race', 'Random Production']",33535,6.60263,1.5252
Mage Knight Board Game,2011,1,4,60,240,14,"['Adventure', 'Exploration', 'Fantasy', 'Fighting', 'Miniatures']","['Card Play Conflict Resolution', 'Cooperative Game', 'Deck, Bag, and Pool Building', 'Dice Rolling', 'Grid Movement', 'Hand Management', 'Hexagon Grid', 'Modular Board', 'Multi-Use Cards', 'Open Drafting', 'Role Playing', 'Solo / Solitaire Game', 'Turn Order: Claim Action', 'Variable Player Powers']",33534,8.08475,4.364
Cosmic Encounter,2008,3,5,60,120,12,"['Bluffing', 'Negotiation', 'Science Fiction', 'Space Exploration']","['Alliances', 'Card Play Conflict Resolution', 'Hand Management', 'Interrupts', 'Negotiation', ""Prisoner's Dilemma"", 'Race', 'Simultaneous Action Selection', 'Take That', 'Trading', 'Variable Player Powers']",33207,7.52084,2.5822
Saboteur,2004,3,10,30,30,8,"['Bluffing', 'Card Game', 'Exploration', 'Fantasy', 'Party Game']","['Hand Management', 'Hidden Roles', 'Map Addition', 'Network and Route Building', 'Take That', 'Traitor Game']",33178,6.54475,1.3181
Star Wars: Rebellion,2016,2,4,180,240,14,"['Civil War', 'Miniatures', 'Movies / TV / Radio theme', 'Science Fiction', 'Space Exploration', 'Wargame']","['Area Majority / Influence', 'Area Movement', 'Area-Impulse', 'Card Play Conflict Resolution', 'Contracts', 'Delayed Purchase', 'Dice Rolling', 'Die Icon Resolution', 'Events', 'Hand Management', 'Hidden Movement', 'Income', 'Once-Per-Game Abilities', 'Tags', 'Take That', 'Team-Based Game', 'Variable Player Powers', 'Variable Set-up', 'Worker Placement, Different Worker Types']",32962,8.41749,3.7394
